player_id,player_name,team,season,proj_target_share_next,proj_carry_share_next,targets,rush_att,team_targets,team_carries
00-0027985,L.Kendricks,LAC,2019,0.0550724637681159,0.0,1.0,0.0,31.0,30.0
00-0028002,R.Cobb,DAL,2019,0.1195652173913043,0.0,6.0,0.0,32.0,36.0
00-0028002,R.Cobb,HOU,2020,0.1817258663901132,0.0,2.0,0.0,37.0,19.0
00-0028002,R.Cobb,GB,2021,0.0974794023181119,0.0,1.0,0.0,27.0,20.0
00-0028002,R.Cobb,GB,2022,0.090803932909196,0.0,2.0,0.0,26.0,28.0
00-0028002,R.Cobb,NYJ,2023,0.0701298701298701,0.0,1.0,0.0,18.0,42.0
00-0028042,L.Stocker,ATL,2019,0.0270516347035476,0.0,1.0,0.0,48.0,30.0
00-0028042,L.Stocker,ATL,2020,0.0404411764705882,0.0,1.0,0.0,41.0,26.0
00-0028042,L.Stocker,MIN,2021,0.0303030303030303,0.0,1.0,0.0,28.0,24.0
00-0028063,T.Jones,HOU,2019,0.035625,0.18,1.0,0.0,50.0,21.0
00-0028063,T.Jones,BUF,2020,0.0222222222222222,0.0,1.0,0.0,38.0,31.0
00-0028064,B.Powell,NYJ,2019,0.07005291005291,0.2867647058823529,0.0,7.0,33.0,27.0
00-0028074,A.Sherman,KC,2019,0.0213546880213546,0.0599951347077783,1.0,0.0,32.0,27.0
00-0028074,A.Sherman,KC,2020,0.0179340028694404,0.0205566097406704,0.0,1.0,31.0,17.0
00-0028087,D.Lewis,TEN,2019,0.0488888888888888,0.2175213675213675,1.0,0.0,32.0,23.0
00-0028087,D.Lewis,NYG,2020,0.0208333333333333,0.0828664799253034,1.0,1.0,25.0,28.0
00-0028097,L.Smith,BUF,2019,0.0355802743789395,0.0,1.0,0.0,43.0,30.0
00-0028097,L.Smith,BUF,2020,0.0316698277224593,0.0,2.0,0.0,38.0,31.0
00-0028097,L.Smith,ATL,2021,0.0516619183285849,0.0,1.0,0.0,30.0,23.0
00-0028112,C.Clay,ARI,2019,0.0654401154401154,0.0,1.0,0.0,27.0,40.0
00-0028114,D.Harris,LV,2019,0.0384615384615384,0.0,1.0,0.0,26.0,28.0
00-0028118,T.Taylor,LAC,2019,0.0098039215686274,0.0848484848484848,0.0,2.0,37.0,16.0
00-0028118,T.Taylor,LAC,2020,0.0,0.1538461538461538,0.0,6.0,29.0,39.0
00-0028118,T.Taylor,HOU,2021,0.0,0.1359649122807017,0.0,3.0,26.0,19.0
00-0028118,T.Taylor,NYG,2022,0.0,0.0681818181818181,0.0,2.0,32.0,24.0
00-0028118,T.Taylor,NYG,2023,0.0,0.1256410256410256,0.0,8.0,32.0,30.0
00-0028118,T.Taylor,NYJ,2024,0.0,0.0526315789473684,0.0,2.0,31.0,21.0
00-0028128,C.Jones,CAR,2019,0.0,0.0303030303030303,0.0,1.0,30.0,33.0
00-0028142,V.Green,LAC,2019,0.0341752008418675,0.0,1.0,0.0,44.0,25.0
00-0028142,V.Green,LAC,2020,0.0403496168582375,0.0,2.0,0.0,42.0,32.0
00-0028149,B.Miller,JAX,2020,0.05,0.0,1.0,0.0,44.0,27.0
00-0028237,C.Hogan,CAR,2019,0.0595515595515595,0.0,4.0,0.0,49.0,18.0
